Number of Labourers,Efficiency of Labourers,Number of Days
1135.0,0.4602179572453493,1491.0
1370.0,0.8416699663048721,1191.0
1034.0,0.5496647606370304,950.0
1098.0,0.5119749744241999,1362.0
1066.0,0.5784843238492609,1302.0
1086.0,0.4478971721683328,398.0
876.0,0.47687474424577714,2934.0
1053.0,0.4395690569027424,2852.0
1107.0,0.5762745704898802,2504.0
933.0,0.3538491915808162,300.0
1028.0,0.48539822647061576,460.0
1026.0,0.6677100878930957,2313.0
935.0,0.2932224935863623,801.0
1268.0,0.23190884798571948,1069.0
891.0,0.6088547229758751,1571.0
813.0,0.5921414457514205,1470.0
918.0,0.7119955154435726,2357.0
1274.0,0.4015227944314233,2159.0
879.0,0.4051339318518192,1310.0
1176.0,0.1723531423279463,2179.0
988.0,0.37693269294816134,1066.0
1052.0,0.5831293248145683,1991.0
745.0,0.16170697811558882,195.0
1153.0,0.5378973377765025,2028.0
1007.0,0.6002435058318403,1811.0
841.0,0.5208527103217975,1153.0
1065.0,0.3618133978180015,196.0
1318.0,0.5360178816199879,1161.0
1156.0,0.2542839586121467,1541.0
1287.0,0.4277753414367642,2078.0
767.0,0.550275208754637,1127.0
625.0,0.3718586636009683,801.0
967.0,0.18345916827909164,2488.0
1268.0,0.45865749484911356,2738.0
685.0,0.7295891328026325,752.0
931.0,0.5125402807573923,1053.0
884.0,0.7312799903565625,1181.0
771.0,0.4283495920535987,1793.0
1016.0,0.5039747722726481,865.0
812.0,0.5407292828694858,1906.0
1277.0,0.647187203699972,1682.0
988.0,0.30365465236182887,2414.0
1076.0,0.5760755216807417,1976.0
1164.0,0.8367675199780067,2241.0
777.0,0.4625624608979388,2717.0
1159.0,0.6407057215444844,2938.0
1006.0,0.4599451489010256,133.0
995.0,0.7215674385233328,2835.0
621.0,0.5187200411287458,1471.0
1144.0,0.3100418694719743,1365.0
964.0,0.6186089143113466,2780.0
981.0,0.5011453805879544,450.0
744.0,0.5486013924197691,407.0
1054.0,0.5498282219471307,1271.0
1192.0,0.8563720581510745,997.0
1041.0,0.4619745518720028,857.0
860.0,0.5685793982613953,1510.0
893.0,0.8784875789932478,32.0
902.0,0.6106861289282566,2920.0
744.0,0.48122798329899463,2831.0
767.0,0.35830869597535875,1673.0
1321.0,0.13616844837090591,2396.0
656.0,0.6175733391080959,1638.0
746.0,0.33138794036567776,944.0
1150.0,0.5481531396812038,586.0
1102.0,0.5793332212136393,510.0
1171.0,0.7048536298414368,2212.0
1108.0,0.547123231823878,952.0
1078.0,0.7463529332796044,947.0
610.0,0.45925420758676405,763.0
929.0,0.5108016818037332,47.0
1075.0,0.33928723175065656,2127.0
906.0,0.5106358221047388,2700.0
1093.0,0.4648383109719257,954.0
992.0,0.3248360978087338,469.0
1031.0,0.22128216673242768,1242.0
817.0,0.688258266888176,893.0
1056.0,0.6539473627530332,1648.0
1026.0,0.3817516304570316,1280.0
962.0,0.5370204938256622,2469.0
1010.0,0.3173524162580183,2785.0
790.0,0.4901808401711868,989.0
1101.0,0.6554819247770753,1164.0
1092.0,0.41884790219669926,135.0
858.0,0.395245701713937,1238.0
851.0,0.6518495077470544,23.0
1325.0,0.5660953306796234,1669.0
790.0,0.5572063367083521,297.0
874.0,0.27057027514382687,2620.0
991.0,0.5541786271708578,1706.0
1128.0,0.6259021011052711,2295.0
987.0,0.3452046484555032,1245.0
1062.0,0.19655826511906482,347.0
1040.0,0.6872408964429524,297.0
737.0,0.47184258056642614,9.0
1338.0,0.8448101394163819,582.0
810.0,0.6473999718963821,1564.0
1083.0,0.5647882631895618,612.0
812.0,0.3953707059986249,1609.0
779.0,0.3665322142803378,25.0
1012.0,0.14243333666478702,1854.0
1127.0,0.24269195880110866,107.0
993.0,0.43778932885910443,2565.0
910.0,0.5568606162532175,2730.0
1133.0,0.6272412323179951,1395.0
1325.0,0.5077046573569406,426.0
794.0,0.14342751160817874,89.0
928.0,0.4428536152788753,2250.0
922.0,0.29697323732498293,1862.0
1040.0,0.601338866144497,2155.0
690.0,0.5056063496909958,1164.0
920.0,0.20053497162928474,926.0
774.0,0.5968417339005896,2871.0
860.0,0.32918221935641123,2115.0
1189.0,0.6486795292707161,2169.0
1123.0,0.6120054339396722,27.0
1069.0,0.28451205747205355,1344.0
1249.0,0.23153567295516464,877.0
710.0,0.5911489277252564,389.0
972.0,0.6531496176567954,2128.0
1202.0,0.37436874041057067,647.0
986.0,0.44379339924325234,1168.0
1017.0,0.61033544565804,146.0
1221.0,0.5691641716621274,939.0
969.0,0.5730166006150087,1332.0
